term,estimate,std.error,statistic,p.value,conf.low,conf.high,repo
(Intercept),0.0168,0.1481,-27.6004,0,0.0125,0.0223,formbricks/formbricks
ai_presence,0.9542,0.2243,-0.2089,0.8345,0.6194,1.4936,formbricks/formbricks
periodpost_adoption,1.3056,0.2278,1.1707,0.2417,0.8283,2.0251,formbricks/formbricks
log_churn,0.8615,0.0398,-3.746,2e-4,0.7962,0.9308,formbricks/formbricks
log_files_changed,6.08,0.0909,19.8641,0,5.103,7.2874,formbricks/formbricks
log_commits,1.4107,0.0941,3.6549,3e-4,1.1731,1.6969,formbricks/formbricks
log_lifetime,0.9702,0.0332,-0.9108,0.3624,0.9089,1.0352,formbricks/formbricks
(Intercept),0.0588,0.2055,-13.7906,0,0.039,0.0874,triggerdotdev/trigger.dev
ai_presence,1.4235,0.7106,0.497,0.6192,0.4045,7.0939,triggerdotdev/trigger.dev
periodpost_adoption,0.71,0.7153,-0.4788,0.6321,0.1417,2.5307,triggerdotdev/trigger.dev
log_churn,1.1982,0.0512,3.5311,4e-4,1.0839,1.3251,triggerdotdev/trigger.dev
log_files_changed,1.5276,0.082,5.1699,0,1.3021,1.7958,triggerdotdev/trigger.dev
log_commits,1.6311,0.0825,5.933,0,1.3897,1.9203,triggerdotdev/trigger.dev
log_lifetime,0.791,0.0327,-7.1696,0,0.7412,0.8426,triggerdotdev/trigger.dev
