term,estimate,std.error,statistic,p.value,conf.low,conf.high,repo
(Intercept),0.0178,0.1639,-24.5663,0,0.0129,0.0244,formbricks/formbricks
ai_presence,0.9499,0.2269,-0.2264,0.8209,0.6135,1.4945,formbricks/formbricks
periodpost_adoption,1.3453,0.2344,1.2656,0.2056,0.843,2.1145,formbricks/formbricks
log_churn,0.8642,0.0401,-3.6397,3e-4,0.7983,0.9343,formbricks/formbricks
log_files_changed,6.072,0.0912,19.7765,0,5.093,7.2827,formbricks/formbricks
log_commits,1.3895,0.0984,3.3412,8e-4,1.1455,1.6851,formbricks/formbricks
log_lifetime,0.9593,0.0365,-1.1384,0.2549,0.8928,1.0301,formbricks/formbricks
log_human_comment_count,1.0689,0.0956,0.6973,0.4856,0.8865,1.2896,formbricks/formbricks
log_human_reviewer_count,0.9181,0.1962,-0.4356,0.6631,0.6253,1.3495,formbricks/formbricks
is_self_merged,0.9153,0.1132,-0.7822,0.4341,0.7327,1.1419,formbricks/formbricks
(Intercept),0.0265,0.241,-15.0619,0,0.0164,0.0421,triggerdotdev/trigger.dev
ai_presence,1.228,0.7083,0.2899,0.7719,0.3469,6.0408,triggerdotdev/trigger.dev
periodpost_adoption,0.459,0.7174,-1.0855,0.2777,0.0923,1.6612,triggerdotdev/trigger.dev
log_churn,1.0893,0.0543,1.5752,0.1152,0.9791,1.2117,triggerdotdev/trigger.dev
log_files_changed,1.9865,0.0918,7.4767,0,1.6622,2.3827,triggerdotdev/trigger.dev
log_commits,1.3398,0.0897,3.2614,0.0011,1.125,1.5992,triggerdotdev/trigger.dev
log_lifetime,0.8327,0.0361,-5.0744,0,0.7752,0.893,triggerdotdev/trigger.dev
log_human_comment_count,0.8279,0.1218,-1.5512,0.1209,0.6516,1.0508,triggerdotdev/trigger.dev
log_human_reviewer_count,2.9802,0.202,5.4049,0,2.0134,4.4471,triggerdotdev/trigger.dev
is_self_merged,3.2966,0.1406,8.4866,0,2.5108,4.358,triggerdotdev/trigger.dev
