term,estimate,std.error,statistic,p.value,conf.low,conf.high,repo
(Intercept),0.0211,0.2662,-14.485,0,0.0124,0.0351,formbricks/formbricks
ai_presence,0.9539,0.2339,-0.2015,0.8403,0.6074,1.5215,formbricks/formbricks
log_churn,0.7906,0.0512,-4.5864,0,0.7141,0.8731,formbricks/formbricks
log_files_changed,7.7253,0.1194,17.1297,0,6.146,9.8153,formbricks/formbricks
log_commits,1.3384,0.1315,2.2166,0.0266,1.0347,1.7331,formbricks/formbricks
log_lifetime,0.9813,0.0456,-0.4147,0.6784,0.897,1.0725,formbricks/formbricks
(Intercept),0.0355,0.7436,-4.4893,0,0.0067,0.133,triggerdotdev/trigger.dev
ai_presence,1.5949,0.7274,0.6418,0.521,0.4393,8.2081,triggerdotdev/trigger.dev
log_churn,1.1261,0.0605,1.9615,0.0498,0.9999,1.268,triggerdotdev/trigger.dev
log_files_changed,2.0182,0.1187,5.9158,0,1.6027,2.5532,triggerdotdev/trigger.dev
log_commits,1.4508,0.1089,3.4169,6e-4,1.1737,1.7993,triggerdotdev/trigger.dev
log_lifetime,0.7859,0.0409,-5.8988,0,0.7242,0.8501,triggerdotdev/trigger.dev
