term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0228,0.1757,-21.5075,0,0.0161,0.0321
log_ai_count,1.0952,0.0838,1.0851,0.2779,0.9293,1.2908
log_churn,0.8866,0.0389,-3.0905,0.002,0.821,0.9565
log_files_changed,4.4377,0.082,18.1677,0,3.7868,5.2234
log_commits,1.2402,0.0911,2.3622,0.0182,1.0376,1.4832
log_lifetime,0.848,0.0311,-5.2993,0,0.7974,0.9008
repotriggerdotdev/trigger.dev,0.6539,0.1071,-3.9674,1e-4,0.5298,0.8062
log_human_comment_count,0.9672,0.0947,-0.352,0.7249,0.8032,1.1646
log_human_reviewer_count,2.7746,0.1783,5.725,0,1.9616,3.9464
is_self_merged,1.446,0.0994,3.7111,2e-4,1.1905,1.7578
