term,estimate,std.error,statistic,p.value,conf.low,conf.high,repo
(Intercept),0.0218,0.3135,-12.196,0,0.0116,0.0398,formbricks/formbricks
ai_presence,0.9522,0.2377,-0.206,0.8368,0.6019,1.5299,formbricks/formbricks
log_churn,0.7973,0.0516,-4.391,0,0.7197,0.8811,formbricks/formbricks
log_files_changed,7.6433,0.12,16.9499,0,6.0735,9.7238,formbricks/formbricks
log_commits,1.2987,0.1362,1.9189,0.055,0.9945,1.6967,formbricks/formbricks
log_lifetime,0.954,0.0484,-0.973,0.3305,0.867,1.0484,formbricks/formbricks
log_human_comment_count,1.0806,0.1228,0.6316,0.5276,0.8497,1.3755,formbricks/formbricks
log_human_reviewer_count,1.1509,0.2881,0.4879,0.6256,0.656,2.0315,formbricks/formbricks
is_self_merged,0.803,0.1384,-1.5853,0.1129,0.6114,1.0521,formbricks/formbricks
(Intercept),0.0107,0.7625,-5.9486,0,0.002,0.0424,triggerdotdev/trigger.dev
ai_presence,1.3094,0.7167,0.3761,0.7068,0.364,6.5388,triggerdotdev/trigger.dev
log_churn,1.0279,0.0639,0.4303,0.667,0.9064,1.1647,triggerdotdev/trigger.dev
log_files_changed,2.6067,0.1316,7.2818,0,2.0209,3.3861,triggerdotdev/trigger.dev
log_commits,1.2401,0.1216,1.7702,0.0767,0.9777,1.5752,triggerdotdev/trigger.dev
log_lifetime,0.8042,0.0443,-4.9145,0,0.736,0.8759,triggerdotdev/trigger.dev
log_human_comment_count,0.8284,0.1445,-1.303,0.1926,0.6238,1.0998000000000001,triggerdotdev/trigger.dev
log_human_reviewer_count,3.5292,0.2392,5.2721,0,2.2227,5.6815,triggerdotdev/trigger.dev
is_self_merged,2.8291,0.1652,6.2945,0,2.0561,3.9321,triggerdotdev/trigger.dev
